timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527358163396,11001,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-118,text,true,,322,156,12,91,11001,0,438
1527358158895,16455,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-115,text,true,,322,156,11,93,16455,0,428
1527358164896,10799,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-119,text,true,,322,156,11,94,10799,0,440
1527358166397,10859,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-120,text,true,,322,156,11,89,10859,0,427
1527358167895,10668,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-121,text,true,,322,156,11,92,10668,0,443
1527358161896,17788,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-117,text,true,,322,156,10,85,17788,0,574
1527358149896,30300,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-109,text,true,,322,156,10,94,30300,0,435
1527358170895,11068,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-123,text,true,,322,156,10,83,11068,0,440
1527358172424,10395,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-124,text,true,,322,156,9,85,10395,0,421
1527358160395,26580,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-116,text,true,,322,156,11,84,26580,0,1491
1527358175423,11808,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-126,text,true,,322,156,10,84,11808,0,1767
1527358176895,10727,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-127,text,true,,322,156,10,91,10727,0,423
1527358169395,20145,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-122,text,true,,322,156,10,86,20145,0,423
1527358178395,11283,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-128,text,true,,322,156,9,84,11283,0,418
1527358181395,10418,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-130,text,true,,322,156,9,88,10418,0,432
1527358179895,12421,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-129,text,true,,322,156,9,85,12421,0,450
1527358182925,10722,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-131,text,true,,322,156,9,87,10722,0,419
1527358185918,11359,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-133,text,true,,322,156,10,84,11359,0,427
1527358187424,10667,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-134,text,true,,322,156,10,88,10667,0,418
1527358173923,24379,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-125,text,true,,322,156,9,85,24379,0,427
1527358190423,10624,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-136,text,true,,322,156,10,89,10624,0,417
1527358191895,10666,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-137,text,true,,322,156,10,90,10666,0,414
1527358184429,19256,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-132,text,true,,322,156,9,80,19256,0,429
1527358193395,10374,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-138,text,true,,322,156,8,83,10374,0,426
1527358196395,10491,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-140,text,true,,322,156,9,88,10491,0,427
1527358197925,10543,https://calfibonaccirecur.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 10-141,text,true,,322,156,10,90,10543,0,442
