timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,IdleTime,Connect
1527358215721,492,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-153,text,true,,529,158,1,86,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,492,ISO-8859-1,1,0,0,384
1527358217222,492,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-154,text,true,,529,158,1,85,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,492,ISO-8859-1,1,0,0,382
1527358218721,531,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-155,text,true,,529,158,1,89,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,531,ISO-8859-1,1,0,0,413
1527358220221,487,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-156,text,true,,529,158,1,91,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,487,ISO-8859-1,1,0,0,379
1527358221721,521,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-157,text,true,,529,158,1,86,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,521,ISO-8859-1,1,0,0,410
1527358223192,498,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-158,text,true,,529,158,1,90,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,498,ISO-8859-1,1,0,0,386
1527358224692,535,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-159,text,true,,529,158,1,91,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,535,ISO-8859-1,1,0,0,418
1527358226193,517,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-160,text,true,,529,158,1,89,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,517,ISO-8859-1,1,0,0,407
1527358227723,557,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-161,text,true,,529,158,1,86,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,557,ISO-8859-1,1,0,0,405
1527358229223,881,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-162,text,true,,529,158,1,85,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,881,ISO-8859-1,1,0,0,402
1527358230723,506,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-163,text,true,,529,158,1,90,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,506,ISO-8859-1,1,0,0,389
1527358232197,521,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-164,text,true,,529,158,1,87,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,521,ISO-8859-1,1,0,0,404
1527358233723,538,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-165,text,true,,529,158,1,89,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,538,ISO-8859-1,1,0,0,403
1527358235222,518,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-166,text,true,,529,158,1,90,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,518,ISO-8859-1,1,0,0,393
1527358236722,510,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-167,text,true,,529,158,1,91,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,510,ISO-8859-1,1,0,0,395
1527358238195,1582,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-168,text,true,,529,158,2,85,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,1582,ISO-8859-1,1,0,0,1471
1527358239692,520,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,200,OK,Thread Group 1-169,text,true,,529,158,1,89,https://g8h74so6w0.execute-api.us-east-1.amazonaws.com/dev/ping,,520,ISO-8859-1,1,0,0,410
