timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,Encoding,IdleTime,Connect
1527358221911,540,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-157,text,true,,307,151,1,85,,540,utf-8,0,431
1527358223426,571,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-158,text,true,,307,151,1,88,,571,utf-8,0,420
1527358224926,520,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-159,text,true,,307,151,1,89,,520,utf-8,0,422
1527358226426,531,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-160,text,true,,307,151,1,87,,531,utf-8,0,429
1527358227965,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-161,text,true,,307,151,1,83,,519,utf-8,0,423
1527358229464,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-162,text,true,,307,151,1,86,,519,utf-8,0,424
1527358230961,520,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-163,text,true,,307,151,1,87,,520,utf-8,0,424
1527358232456,542,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-164,text,true,,307,151,1,84,,542,utf-8,0,445
1527358233957,527,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-165,text,true,,307,151,1,87,,527,utf-8,0,422
1527358235464,532,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-166,text,true,,307,151,1,88,,532,utf-8,0,429
1527358236926,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-167,text,true,,307,151,1,88,,534,utf-8,0,431
1527358238426,523,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-168,text,true,,307,151,1,90,,523,utf-8,0,426
1527358239926,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-169,text,true,,307,151,1,86,,534,utf-8,0,429
1527358241426,506,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-170,text,true,,307,151,1,88,,506,utf-8,0,410
1527358244456,1818,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-172,text,true,,307,151,3,88,,1818,utf-8,0,1721
1527358247426,526,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-174,text,true,,307,151,3,90,,526,utf-8,0,423
1527358248957,522,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-175,text,true,,307,151,3,86,,522,utf-8,0,419
